Name,Account Number,Balance
Olivia Bennett,5f73f26d-101f-46f2-bc43-78b2bd052836,39739.88
Noah Smith,010a7933-68cc-4834-ad70-c32bf3efa7a1,8829.86
Emma Taylor,410de0eb-d3fc-45a3-a3aa-c67ced2ce228,8505.630000000001
Liam Johnson,eea36d8b-50b3-4f83-b6b6-e0550f9efa97,1512.83
Ava Davis,d199e77c-d7b3-42d5-b202-0ecdb941b103,6369.07
William Garcia,cbb7610e-0f32-42e3-9da9-a0aea03c7834,4406.82
Sophia Martinez,93afa3de-0c10-43af-a7c8-79fb76e5c321,3092.58
James Brown,d1cb0704-4f4b-40bc-917e-3d6c56e210ea,8743.37
Isabella Wilson,44c90ab5-4bf9-432d-91b3-07c9ccba4170,506.76
Benjamin Moore,db24fc58-e3af-4339-aa86-1a0c9bbf87d0,6830.45
Mia Clark,6affdb23-0b6c-4f43-a3f7-9af06469a7d6,3331.51
Lucas Anderson,4c9eda92-a8c1-468a-adca-3f04d87fdd44,874.75
Harper Thomas,84fff19b-1183-4239-837e-0d9aeaae8d21,9428.7
Mason Lee,4c8e3446-dec3-4104-b39e-f06c4429e075,5120.84
Amelia Young,a42435b6-5eef-4fe4-b574-34d2eb2e5815,1590.84
Elijah Hall,8ed5cef9-60ea-4cbb-90f6-3c47bf3b461f,8933.53
Ella Allen,77f3e801-7239-4fb8-977b-b6057c7b565d,2851.0
Alexander Scott,b000d0f0-2c2f-45f3-a48e-c11b582a5779,9692.74
Abigail King,c7858c00-4d14-41c1-9d8d-f8b39a296bd6,3942.19
Henry Adams,0a04a7f9-7d5b-477d-8ce0-5a09413dfccd,8583.18
Emily Nelson,6d4f5033-0b1f-4bfc-b3ab-37c0818b4d16,843.2
Jacob Carter,a48309f5-a3b3-41ed-8c74-a63b460d5b43,9250.0
Lily Perez,312e5c39-0fc6-4e5a-b9f3-4dbec3f44279,4505.63
Michael Miller,ba4f331d-6c48-41a4-828d-b34b516d1b17,6369.07
Charlotte Rodriguez,f8d9706a-4af7-4166-8ae3-a00302127403,5675.44
Daniel Martinez,a2c97913-f367-47c3-ac1e-f1458cdedf93,2762.97
Grace Lopez,238ec034-b747-44de-923c-5bc6c20ddcb7,3187.32
Samuel Gonzalez,5b2b766a-d2d1-4bb6-8ea9-3e7b199bbb84,5263.3
Chloe Perez,6cc9f54a-e02f-4a17-a1de-0224c0d71f04,1590.84
Matthew Harris,e748e227-abbf-42d8-9c27-939d4920266e,9177.47
Lily Evans,25268893-62fa-4568-a825-6782c852a944,7971.08
Sebastian Walker,34e3e0e2-8065-41d1-ac8a-332a575c8743,7971.08
Madison Collins,f1f4659f-b21e-4b39-8368-43442a267ede,5675.44
Jackson Lewis,ba98fedc-20a0-489f-a844-ce5baccedc91,8473.78
Evelyn Hill,d49244b9-35c1-41bc-9e64-7d441ae8e779,5031.28
Levi Baker,b4976d28-6e74-47e4-b58a-921365d12671,7240.39
Scarlett King,22bcc401-b91a-4cd4-8cf0-23141521551d,9924.85
David Mitchell,3afcbad1-21c7-4d74-80a5-ba091ac2775c,5976.83
Aurora Wright,06bb5b8c-003c-4175-9248-ac3c0cd891c3,4406.82
Carter Rodriguez,00895ac1-107e-4a88-a85f-acb5480bc939,8275.39
Victoria Moore,8c7a0783-25ad-4d53-8455-359aa3b90380,8583.18
Isaac Green,04937264-d4fb-4327-9cde-6cec740a322c,5976.83
Ella Turner,86944dd4-4503-418b-b8db-d2dc4fca6f5d,1590.84
Samuel Wright,95738de8-7988-438e-8911-110625b9013b,8473.78
Aria Lee,cea56f2a-fb2a-4e49-aaf7-bb2c0d1fa440,1927.44
Gabriel Adams,1f5789d5-9c38-4393-b8c2-c207f6c9c55a,7856.67
